entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,qty,pnl,exit_hit,anchor_high,anchor_low
2026-05-04 05:25:00+00:00,short,4590.3,2026-05-04 15:20:00+00:00,4514.451396,4614.869648,4514.451396,0.6535520554212143,49.57101104502961,TP,4652.13,4508.14
2026-05-15 07:10:00+00:00,long,4586.03,2026-05-15 09:10:00+00:00,4553.39825,4553.39825,4749.341600000001,0.6541605702535744,-21.34640418837179,SL,4756.0,4508.14
2026-05-21 23:20:00+00:00,short,4533.64,2026-05-22 05:55:00+00:00,4514.451396,4542.904938,4514.451396,0.6617199424744796,12.69748193504553,TP,4584.41,4508.14
2026-05-22 19:00:00+00:00,short,4509.0,2026-05-23 23:05:00+00:00,4527.451042,4527.451042,4466.244000000001,0.6653359946773121,-12.276142381902654,SL,4584.41,4460.0
2026-05-30 21:00:00+00:00,short,4524.01,2026-05-31 07:45:00+00:00,4534.37727,4534.37727,4380.1236,0.6631285076735021,-6.874832283748092,SL,4584.41,4374.0
2026-06-13 14:20:00+00:00,short,4213.64,2026-06-13 21:15:00+00:00,4222.7971,4222.7971,4032.1170720000005,0.7119734956000038,-6.5196124965584,SL,4354.58,4026.48
2026-06-22 00:25:00+00:00,long,4164.11,2026-06-23 03:15:00+00:00,4130.7289949999995,4130.7289949999995,4348.483588,0.7204420632500103,-24.049080115559043,SL,4354.58,4120.04
2026-07-01 16:30:00+00:00,short,4072.4,2026-07-02 12:30:00+00:00,4114.589801,4114.589801,3964.5426,0.7366663392594047,-31.079806256752764,SL,4216.86,3959.0
2026-07-06 00:25:00+00:00,short,4170.12,2026-07-17 13:00:00+00:00,3964.5426,4199.836454,3964.5426,0.7194037581652327,147.8931541538371,TP,4188.74,3959.0
2026-07-20 04:45:00+00:00,short,4017.71,2026-07-20 11:30:00+00:00,4028.6224999999995,4028.6224999999995,3966.0747420000002,0.7466940122607156,-8.148298408794652,SL,4188.74,3960.53
2026-07-27 02:40:00+00:00,short,4089.94,2026-07-28 09:50:00+00:00,4026.3890640000004,4107.353294,4026.3890640000004,0.7335070930135894,46.6150623236524,TP,4188.74,4020.76
2026-07-30 02:55:00+00:00,short,4061.92,2026-07-30 13:35:00+00:00,4090.1878589999997,4090.1878589999997,4026.3890640000004,0.7385669831015874,-20.87770734037075,SL,4109.58,4020.76
