entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind
2025-09-11 12:25:00+00:00,short,3624.115,2025-09-11 12:30:00+00:00,3626.615,3626.615,3619.965,-2.0694707535494876,SL,aggressive,fvg
2025-09-16 02:40:00+00:00,long,3679.065,2025-09-16 02:45:00+00:00,3675.465,3675.465,3685.345,-2.935528456278899,SL,aggressive,ob
2025-09-16 02:50:00+00:00,long,3678.505,2025-09-16 06:15:00+00:00,3685.345,3673.955,3685.345,5.57835316249375,TP,aggressive,ob
2025-09-16 12:35:00+00:00,long,3691.398,2025-09-16 12:40:00+00:00,3686.225,3686.225,3699.365,-4.204098284715083,SL,aggressive,fvg
2025-09-18 17:00:00+00:00,short,3646.135,2025-09-19 01:05:00+00:00,3647.545,3647.545,3633.485,-1.1601325787442218,SL,aggressive,fvg
2025-09-19 11:35:00+00:00,long,3651.015,2025-09-19 11:40:00+00:00,3648.488,3648.488,3657.205,-2.0764088890350028,SL,aggressive,ob
2025-09-22 02:50:00+00:00,long,3687.415,2025-09-22 03:25:00+00:00,3691.895,3684.735,3691.895,3.644829779127127,TP,aggressive,ob
2025-09-22 22:40:00+00:00,long,3742.405,2025-09-22 22:40:00+00:00,3741.125,3741.125,3748.535,-1.0260781502805283,SL,aggressive,fvg
2025-10-02 07:45:00+00:00,long,3865.565,2025-10-02 08:40:00+00:00,3873.965,3861.018,3873.965,6.519098760465876,TP,aggressive,ob
2025-10-02 18:35:00+00:00,short,3847.255,2025-10-02 18:40:00+00:00,3848.148,3848.148,3840.375,-0.6963406376754563,SL,aggressive,fvg
2025-10-03 18:00:00+00:00,long,3881.645,2025-10-05 22:00:00+00:00,3890.455,3877.135,3890.455,6.808968877885493,TP,aggressive,ob
2025-10-06 11:55:00+00:00,long,3935.425,2025-10-06 12:25:00+00:00,3930.375,3930.375,3944.955,-3.849647750878379,SL,aggressive,ob
2025-10-06 12:30:00+00:00,long,3931.175,2025-10-06 12:30:00+00:00,3928.235,3928.235,3944.955,-2.243604011523314,SL,aggressive,ob
2025-10-07 01:15:00+00:00,long,3961.448,2025-10-07 04:45:00+00:00,3975.925,3955.085,3975.925,10.96341539760233,TP,aggressive,ob
2025-10-07 05:15:00+00:00,long,3965.175,2025-10-07 06:40:00+00:00,3959.248,3959.248,3975.925,-4.48429136166762,SL,aggressive,ob
2025-10-10 11:50:00+00:00,long,3994.605,2025-10-10 12:45:00+00:00,3982.488,3982.488,4028.635,-9.100023656907394,SL,aggressive,fvg
2025-10-15 09:25:00+00:00,long,4183.945,2025-10-16 00:20:00+00:00,4217.995,4162.649,4217.995,24.41475688614467,TP,aggressive,fvg
2025-10-20 11:35:00+00:00,short,4259.605,2025-10-20 11:35:00+00:00,4264.435,4264.435,4248.335,-3.401723868763069,SL,aggressive,fvg
2025-10-22 03:30:00+00:00,short,4116.925,2025-10-22 03:30:00+00:00,4121.555,4121.555,4100.305,-3.3738773477778503,SL,aggressive,fvg
2025-10-23 12:30:00+00:00,long,4108.975,2025-10-23 12:40:00+00:00,4125.245,4100.455,4125.245,11.878874901891244,TP,aggressive,ob
2025-11-03 02:25:00+00:00,short,3998.225,2025-11-03 03:00:00+00:00,4006.755,4006.755,3971.965,-6.400340150942131,SL,aggressive,fvg
2025-11-03 03:10:00+00:00,short,4005.595,2025-11-03 03:10:00+00:00,4008.965,4008.965,3998.515,-2.52396959752572,SL,aggressive,fvg
2025-11-03 14:55:00+00:00,short,4023.995,2025-11-03 15:00:00+00:00,4026.325,4026.325,4015.955,-1.7370796931904193,SL,aggressive,ob
2025-11-03 20:10:00+00:00,short,4008.185,2025-11-03 20:20:00+00:00,4012.598,4012.598,4001.565,-3.3029912541462116,SL,aggressive,ob
2025-11-04 03:45:00+00:00,short,3992.085,2025-11-04 05:30:00+00:00,3980.625,3998.895,3980.625,8.612041076279715,TP,aggressive,ob
2025-11-04 08:10:00+00:00,short,3996.755,2025-11-04 08:15:00+00:00,3990.918,3999.725,3990.918,4.3813043331402515,TP,aggressive,ob
2025-11-07 04:05:00+00:00,long,3990.125,2025-11-07 06:45:00+00:00,4003.115,3984.775,4003.115,9.766611321700283,TP,aggressive,ob
2025-11-11 19:30:00+00:00,short,4117.475,2025-11-11 19:30:00+00:00,4118.285,4118.285,4106.435,-0.5901675177137619,SL,aggressive,fvg
2025-11-13 14:15:00+00:00,long,4220.305,2025-11-13 14:20:00+00:00,4213.165,4213.165,4239.315,-5.075462555431653,SL,aggressive,ob
2025-11-13 23:10:00+00:00,short,4176.955,2025-11-13 23:20:00+00:00,4181.645,4181.645,4144.965,-3.368482542905425,SL,aggressive,fvg
2025-11-13 23:25:00+00:00,short,4178.815,2025-11-13 23:25:00+00:00,4182.445,4182.445,4144.965,-2.606001940741652,SL,aggressive,fvg
2025-11-13 23:30:00+00:00,short,4178.985,2025-11-13 23:45:00+00:00,4184.765,4184.765,4144.965,-4.149332912178906,SL,aggressive,fvg
2025-11-13 23:55:00+00:00,short,4183.455,2025-11-14 00:15:00+00:00,4186.955,4186.955,4168.408,-2.509887162644274,SL,aggressive,fvg
