entry_time,direction,exit_time,pnl,legs,exit_hit
2025-11-07 07:50:00+00:00,long,2025-11-07 07:50:00+00:00,0.05620714837629353,"partial,remainder",partial_10pip|sl
2025-11-11 21:35:00+00:00,long,2025-11-11 21:35:00+00:00,0.02119592581665051,remainder,next_resistance
2025-11-12 18:05:00+00:00,long,2025-11-12 18:05:00+00:00,0.05366745746759818,"partial,remainder",partial_10pip|sl
2025-11-24 17:15:00+00:00,long,2025-11-24 17:15:00+00:00,0.0549889407412093,"partial,remainder",partial_10pip|sl
2025-11-24 19:40:00+00:00,long,2025-11-24 19:40:00+00:00,0.05468772677124408,"partial,remainder",partial_10pip|sl
2025-12-04 10:55:00+00:00,long,2025-12-04 10:55:00+00:00,0.05360440618539715,"partial,remainder",partial_10pip|sl
2025-12-15 07:05:00+00:00,long,2025-12-15 07:05:00+00:00,0.05182475350567557,"partial,remainder",partial_10pip|sl
2025-12-15 07:15:00+00:00,long,2025-12-15 07:15:00+00:00,0.051818338509686285,"partial,remainder",partial_10pip|sl
2025-12-18 14:30:00+00:00,long,2025-12-18 14:30:00+00:00,0.05193522009154773,"partial,remainder",partial_10pip|sl
2025-12-19 18:35:00+00:00,long,2025-12-19 18:35:00+00:00,0.05172215677676423,"partial,remainder",partial_10pip|sl
2026-01-02 09:25:00+00:00,long,2026-01-02 09:25:00+00:00,0.05130397706980743,"partial,remainder",partial_10pip|sl
2026-01-02 11:35:00+00:00,long,2026-01-02 11:40:00+00:00,0.051214828256844015,"partial,remainder",partial_10pip|sl
2026-01-06 17:45:00+00:00,long,2026-01-06 17:45:00+00:00,0.05018512890412194,"partial,remainder",partial_10pip|sl
2026-01-13 10:50:00+00:00,short,2026-01-13 11:00:00+00:00,-0.08559796369689633,remainder,sl
2026-02-18 11:25:00+00:00,short,2026-02-18 11:25:00+00:00,0.045770631785786116,"partial,remainder",partial_10pip|sl
2026-02-19 07:55:00+00:00,long,2026-02-19 07:55:00+00:00,-0.03091235619817352,remainder,sl
2026-03-02 08:45:00+00:00,long,2026-03-02 08:45:00+00:00,0.04165768398079661,"partial,remainder",partial_10pip|sl
2026-03-18 07:25:00+00:00,long,2026-03-18 07:30:00+00:00,0.04492819351543699,"partial,remainder",partial_10pip|sl
2026-04-06 10:05:00+00:00,long,2026-04-06 10:05:00+00:00,-0.25442673944417554,remainder,sl
2026-04-09 16:45:00+00:00,long,2026-04-09 16:45:00+00:00,0.047003102706430856,"partial,remainder",partial_10pip|sl
2026-04-09 16:55:00+00:00,long,2026-04-09 17:00:00+00:00,0.04699242751182711,"partial,remainder",partial_10pip|sl
2026-04-13 20:30:00+00:00,long,2026-04-13 20:30:00+00:00,0.047480384051582836,"partial,remainder",partial_10pip|sl
2026-04-24 08:35:00+00:00,long,2026-04-24 08:35:00+00:00,0.048018058133489534,"partial,remainder",partial_10pip|sl
2026-04-24 15:15:00+00:00,long,2026-04-24 15:15:00+00:00,0.0476562437986336,"partial,remainder",partial_10pip|sl
2026-05-01 18:55:00+00:00,short,2026-05-01 18:55:00+00:00,0.04866330391309684,"partial,remainder",partial_10pip|sl
2026-05-21 18:40:00+00:00,long,2026-05-21 18:40:00+00:00,0.04952629442893965,"partial,remainder",partial_10pip|sl
2026-05-25 11:00:00+00:00,long,2026-05-25 11:00:00+00:00,-0.0392376484995564,remainder,sl
2026-06-01 12:00:00+00:00,long,2026-06-01 12:00:00+00:00,0.04994107233359506,"partial,remainder",partial_10pip|sl
2026-06-01 18:35:00+00:00,long,2026-06-01 18:35:00+00:00,0.05016216870734848,"partial,remainder",partial_10pip|sl
2026-06-03 19:50:00+00:00,long,2026-06-03 19:55:00+00:00,-0.13792511990964892,remainder,sl
2026-06-05 09:05:00+00:00,long,2026-06-05 09:05:00+00:00,0.05044277151019696,"partial,remainder",partial_10pip|sl
2026-06-08 16:55:00+00:00,long,2026-06-08 16:55:00+00:00,0.05187238270455381,"partial,remainder",partial_10pip|sl
2026-06-08 17:05:00+00:00,long,2026-06-08 17:05:00+00:00,0.05187432591814262,"partial,remainder",partial_10pip|sl
2026-06-16 17:10:00+00:00,long,2026-06-16 17:10:00+00:00,-0.08123405563045179,remainder,sl
2026-06-22 07:25:00+00:00,long,2026-06-22 07:25:00+00:00,0.05361111750469556,"partial,remainder",partial_10pip|sl
2026-06-26 10:25:00+00:00,long,2026-06-26 10:25:00+00:00,0.05564125264174286,"partial,remainder",partial_10pip|sl
2026-07-02 09:15:00+00:00,long,2026-07-02 09:15:00+00:00,0.055257478167570775,"partial,remainder",partial_10pip|sl
2026-07-20 08:55:00+00:00,long,2026-07-20 08:55:00+00:00,0.055994105667077985,"partial,remainder",partial_10pip|sl
2026-07-24 10:55:00+00:00,long,2026-07-24 10:55:00+00:00,0.055456236198416956,"partial,remainder",partial_10pip|sl
2026-07-24 17:30:00+00:00,short,2026-07-24 17:40:00+00:00,0.05531300262557994,"partial,remainder",partial_10pip|sl
2026-07-28 16:40:00+00:00,long,2026-07-28 16:40:00+00:00,0.05567570063153639,"partial,remainder",partial_10pip|sl
2026-07-30 11:30:00+00:00,long,2026-07-30 11:30:00+00:00,0.05518678070967996,"partial,remainder",partial_10pip|sl
2026-07-30 11:40:00+00:00,long,2026-07-30 11:40:00+00:00,0.0551878972989282,"partial,remainder",partial_10pip|sl
