symbol,timeframe,partial_pips,trades,wins,wr,pf,net,net_pct,final_capital,max_dd_pct,partial_legs,partial_hit_rate,fees
PAXGUSDT,1m,10,503,0,0.0,,-408.6897312527217,-4.086897312527217,9591.310268747278,-4.086897312527217,77,13.275862068965516,283.9529557527763
PAXGUSDT,1m,15,503,0,0.0,,-396.17207426823006,-3.961720742682301,9603.82792573177,-3.961720742682301,56,10.01788908765653,273.84369678999286
PAXGUSDT,1m,20,503,0,0.0,,-390.2704044343791,-3.902704044343791,9609.729595565621,-3.902704044343791,47,8.545454545454545,269.5129085954453
PAXGUSDT,1m,25,503,0,0.0,,-381.5739850027494,-3.8157398500274944,9618.42601499725,-3.8157398500274944,30,5.628517823639775,261.2927709064036
PAXGUSDT,1m,30,503,0,0.0,,-377.5995344843286,-3.775995344843286,9622.400465515671,-3.775995344843286,23,4.3726235741444865,257.921790112179
PAXGUSDT,1m,40,503,0,0.0,,-374.0586381220419,-3.740586381220419,9625.941361877958,-3.740586381220419,17,3.2692307692307696,255.01517999966927
PAXGUSDT,1m,50,503,0,0.0,,-370.80936606682735,-3.7080936606682733,9629.190633933173,-3.7080936606682733,11,2.140077821011673,252.11223286291678
PAXGUSDT,1m,75,503,0,0.0,,-368.1535997479659,-3.681535997479659,9631.846400252034,-3.681535997479659,5,0.984251968503937,249.2033103842879
PAXGUSDT,1m,100,503,0,0.0,,-367.583499171069,-3.67583499171069,9632.416500828931,-3.67583499171069,4,0.7889546351084813,248.7255603426823
PAXGUSDT,1m,150,503,0,0.0,,-367.08218758697876,-3.6708218758697875,9632.917812413021,-3.6708218758697875,2,0.39603960396039606,247.7544564204458
PAXGUSDT,1m,200,503,0,0.0,,-367.0525433065977,-3.670525433065977,9632.947456693402,-3.670525433065977,1,0.1984126984126984,247.2703583603835
PAXGUSDT,5m,10,63,0,0.0,,-53.98269311296281,-0.539826931129628,9946.017306887037,-0.539826931129628,13,17.105263157894736,37.88946703390369
PAXGUSDT,5m,15,63,0,0.0,,-52.35330576574779,-0.5235330576574779,9947.646694234252,-0.5235330576574779,10,13.698630136986301,36.3962563617016
PAXGUSDT,5m,20,63,0,0.0,,-50.30088168630937,-0.5030088168630936,9949.69911831369,-0.5030088168630936,6,8.695652173913043,34.404920478311105
PAXGUSDT,5m,25,63,0,0.0,,-50.12590340051429,-0.5012590340051428,9949.874096599486,-0.5012590340051428,6,8.695652173913043,34.40541137559811
PAXGUSDT,5m,30,63,0,0.0,,-49.53135825103527,-0.49531358251035273,9950.468641748965,-0.49531358251035273,5,7.352941176470589,33.907337617132185
PAXGUSDT,5m,40,63,0,0.0,,-48.93680447006773,-0.4893680447006773,9951.063195529932,-0.4893680447006773,3,4.545454545454546,32.90967075635229
PAXGUSDT,5m,50,63,0,0.0,,-48.76429690335681,-0.4876429690335681,9951.235703096643,-0.4876429690335681,3,4.545454545454546,32.91001725969609
PAXGUSDT,5m,75,63,0,0.0,,-48.333019270903606,-0.483330192709036,9951.666980729096,-0.483330192709036,3,4.545454545454546,32.910883530780815
PAXGUSDT,5m,100,63,0,0.0,,-47.37314198948661,-0.47373141989486617,9952.626858010513,-0.47373141989486617,2,3.076923076923077,32.413746240977694
PAXGUSDT,5m,150,63,0,0.0,,-47.43489986660097,-0.47434899866600977,9952.565100133399,-0.47434899866600977,0,0.0,31.416646841721096
PAXGUSDT,5m,200,63,0,0.0,,-47.43489986660097,-0.47434899866600977,9952.565100133399,-0.47434899866600977,0,0.0,31.416646841721096
