,equity
2025-09-11 21:40:00+00:00,9674.471936959078
2025-09-11 21:42:00+00:00,9668.283087346314
2025-09-13 07:27:00+00:00,9661.996514934492
2025-09-13 07:48:00+00:00,9656.909438010585
2025-09-14 07:10:00+00:00,9654.925141115715
2025-09-14 12:46:00+00:00,9652.927995279853
2025-09-14 20:55:00+00:00,9646.019319982444
2025-09-14 20:57:00+00:00,9643.878978861003
2025-09-14 21:03:00+00:00,9637.398528763268
2025-09-14 21:05:00+00:00,9630.922433369024
2025-09-15 08:35:00+00:00,9628.481641180304
2025-09-15 15:41:00+00:00,9627.85238544689
2025-09-15 15:49:00+00:00,9629.449340835896
2025-09-15 16:43:00+00:00,9625.422266363263
2025-09-16 07:10:00+00:00,9624.784176718667
2025-09-16 07:11:00+00:00,9622.846092317832
2025-09-16 20:36:00+00:00,9620.258380728817
2025-09-18 16:42:00+00:00,9618.189325328109
2025-09-18 16:51:00+00:00,9617.570290115878
2025-09-18 16:51:00+00:00,9616.490031743555
2025-09-19 09:34:00+00:00,9613.792690086795
2025-09-19 18:35:00+00:00,9610.369577226294
2025-09-19 18:37:00+00:00,9606.947683208558
2025-09-19 18:39:00+00:00,9603.527007599601
2025-09-19 21:12:00+00:00,9597.655488310262
2025-09-19 21:47:00+00:00,9596.321250230521
2025-09-21 09:44:00+00:00,9595.691949477663
2025-09-21 09:44:00+00:00,9594.528421417888
2025-09-21 17:20:00+00:00,9591.349104967665
2025-09-22 16:22:00+00:00,9589.430835146672
2025-09-22 19:19:00+00:00,9586.900711399918
2025-09-24 09:19:00+00:00,9585.998407698562
2025-09-24 12:08:00+00:00,9583.002708320613
2025-09-24 20:17:00+00:00,9577.402657920573
2025-09-24 20:23:00+00:00,9576.75412154907
2025-09-24 20:27:00+00:00,9574.941020343551
2025-09-24 20:30:00+00:00,9572.181703294322
2025-09-26 08:16:00+00:00,9568.87826973909
2025-09-26 21:12:00+00:00,9565.264337212877
2025-09-27 08:47:00+00:00,9555.114956098249
2025-09-27 08:49:00+00:00,9544.988960800993
2025-09-27 08:54:00+00:00,9540.665965536136
2025-09-27 19:27:00+00:00,9537.976055832154
2025-09-27 20:28:00+00:00,9537.31911409686
2025-09-27 20:28:00+00:00,9535.803137650864
2025-09-30 14:28:00+00:00,9532.013547707627
2025-09-30 14:31:00+00:00,9527.014261894506
2025-09-30 14:36:00+00:00,9524.018904963179
2025-09-30 14:41:00+00:00,9523.336563116487
2025-09-30 14:42:00+00:00,9521.419411235147
2025-10-05 11:46:00+00:00,9519.490671702599
2025-10-05 19:34:00+00:00,9517.55010550566
2025-10-05 19:41:00+00:00,9515.609934896813
2025-10-05 20:05:00+00:00,9513.975601034806
2025-10-07 09:48:00+00:00,9508.446275736425
2025-10-10 08:32:00+00:00,9507.723133920139
2025-10-10 08:32:00+00:00,9507.404745769723
2025-10-12 21:56:00+00:00,9505.301424760837
2025-10-17 18:46:00+00:00,9504.506601202364
2025-10-17 18:49:00+00:00,9502.594366809062
2025-10-20 13:30:00+00:00,9494.065466970875
2025-10-20 15:58:00+00:00,9493.247408164656
2025-10-20 15:58:00+00:00,9492.37476580858
2025-10-20 19:24:00+00:00,9491.551077687414
2025-10-20 19:24:00+00:00,9492.138725810284
2025-10-29 07:31:00+00:00,9482.54917433967
2025-10-30 19:21:00+00:00,9475.595347412253
2025-11-01 17:43:00+00:00,9472.955799166466
2025-11-01 17:52:00+00:00,9470.9903170068
2025-11-05 21:29:00+00:00,9470.273536661109
2025-11-05 21:29:00+00:00,9469.651901181494
2025-11-06 10:48:00+00:00,9467.283764291806
2025-11-08 20:24:00+00:00,9461.47931193995
2025-11-12 09:11:00+00:00,9458.920956345983
2025-11-12 09:19:00+00:00,9452.910243553208
2025-11-13 08:56:00+00:00,9450.896626984846
2025-11-13 12:50:00+00:00,9448.548395806058
2025-11-13 12:52:00+00:00,9447.764449421235
2025-11-13 12:52:00+00:00,9447.148042929493
2025-11-13 19:24:00+00:00,9441.26967652735
2025-11-14 12:49:00+00:00,9440.52202026749
2025-11-14 12:50:00+00:00,9438.622245143544
2025-11-15 15:23:00+00:00,9433.003571532905
2025-11-15 15:31:00+00:00,9426.97386312507
2025-11-15 15:39:00+00:00,9425.065453668436
2025-11-17 20:22:00+00:00,9424.34324657846
2025-11-17 20:23:00+00:00,9422.446487972567
2025-11-20 19:53:00+00:00,9421.706143148509
2025-11-20 19:58:00+00:00,9424.65248607251
2025-11-21 13:03:00+00:00,9416.607343279022
2025-11-22 17:58:00+00:00,9414.410701855968
2025-11-22 18:49:00+00:00,9413.675578682032
2025-11-22 18:50:00+00:00,9413.044797232318
2025-11-23 14:45:00+00:00,9412.313364935593
2025-11-23 14:49:00+00:00,9413.012182431949
2025-11-23 17:46:00+00:00,9406.852767188906
2025-11-24 19:05:00+00:00,9406.10171402566
2025-11-24 19:08:00+00:00,9404.208926124847
2025-11-24 19:10:00+00:00,9398.8720876204
2025-11-24 19:12:00+00:00,9395.340736329577
2025-11-26 16:18:00+00:00,9393.32623960331
2025-11-28 18:59:00+00:00,9392.546906197957
2025-11-28 19:02:00+00:00,9390.65713658799
2025-11-28 21:44:00+00:00,9382.540253422729
2025-11-28 21:46:00+00:00,9374.430386144786
2025-11-29 11:47:00+00:00,9372.99690008263
2025-11-29 20:11:00+00:00,9371.28796023094
2025-12-03 12:59:00+00:00,9370.513331291466
2025-12-03 13:00:00+00:00,9371.227088609008
