entry_time,exit_time,direction,leg,pnl,exit_hit
2026-01-08 21:14:00+00:00,2026-01-08 21:17:00+00:00,long,full,-6.3975125820633885,init_sl
2026-02-16 17:21:00+00:00,2026-02-16 17:22:00+00:00,long,partial,-1.0012146198369547,partial_tp
2026-02-16 17:21:00+00:00,2026-02-16 17:29:00+00:00,long,remainder,0.6092136483023025,runner_resistance
2026-02-25 18:30:00+00:00,2026-02-25 18:32:00+00:00,short,remainder,-2.2045710966907084,ema21_close
2026-03-11 18:45:00+00:00,2026-03-11 18:46:00+00:00,long,full,-5.834502348533372,init_sl
2026-03-11 18:49:00+00:00,2026-03-11 18:49:00+00:00,long,full,-5.289077543801045,init_sl
2026-03-16 11:41:00+00:00,2026-03-16 11:42:00+00:00,long,full,-7.5404165133610945,init_sl
2026-05-01 14:25:00+00:00,2026-05-01 14:25:00+00:00,long,full,-5.1913274732847015,init_sl
2026-05-01 14:28:00+00:00,2026-05-01 14:28:00+00:00,long,partial,-0.9263125051361738,partial_tp
2026-05-01 14:28:00+00:00,2026-05-01 14:29:00+00:00,long,remainder,-1.9907189130338967,breakeven
2026-05-25 10:27:00+00:00,2026-05-25 10:29:00+00:00,long,remainder,-2.3908031481335272,ema21_close
2026-06-05 13:16:00+00:00,2026-06-05 13:16:00+00:00,short,full,-6.444859307552656,init_sl
2026-06-05 13:20:00+00:00,2026-06-05 13:20:00+00:00,short,partial,-0.8694611661254716,partial_tp
2026-06-05 13:20:00+00:00,2026-06-05 13:21:00+00:00,short,remainder,-1.9889188873928338,breakeven
2026-06-11 19:56:00+00:00,2026-06-11 19:58:00+00:00,long,full,-11.791810251281149,init_sl
2026-06-11 20:23:00+00:00,2026-06-11 20:23:00+00:00,long,remainder,-2.1973925938022125,ema21_close
2026-06-11 20:27:00+00:00,2026-06-11 20:28:00+00:00,long,remainder,-2.5950740735372544,ema21_close
2026-06-24 14:30:00+00:00,2026-06-24 14:30:00+00:00,long,partial,-0.7599266644552312,partial_tp
2026-06-24 14:30:00+00:00,2026-06-24 14:34:00+00:00,long,remainder,7.541249804249446,runner_resistance
2026-06-30 07:02:00+00:00,2026-06-30 07:02:00+00:00,long,full,-4.465372595165003,init_sl
2026-06-30 07:05:00+00:00,2026-06-30 07:05:00+00:00,long,full,-6.178818059444231,init_sl
2026-06-30 07:11:00+00:00,2026-06-30 07:11:00+00:00,long,remainder,-4.340115827620681,ema21_close
2026-07-01 12:00:00+00:00,2026-07-01 12:00:00+00:00,long,partial,-0.7612783263667289,partial_tp
2026-07-01 12:00:00+00:00,2026-07-01 12:01:00+00:00,long,remainder,-1.9844266655086875,breakeven
2026-07-15 20:50:00+00:00,2026-07-15 20:50:00+00:00,long,partial,-0.770309981082659,partial_tp
2026-07-15 20:50:00+00:00,2026-07-15 20:51:00+00:00,long,remainder,-1.9837807487960244,breakeven
2026-07-21 18:55:00+00:00,2026-07-21 18:55:00+00:00,long,full,-3.3385423376861434,init_sl
2026-07-27 20:58:00+00:00,2026-07-27 22:00:00+00:00,short,full,-6.068041775706353,init_sl
2026-07-29 20:14:00+00:00,2026-07-29 20:14:00+00:00,short,partial,-0.7666618694023499,partial_tp
2026-07-29 20:14:00+00:00,2026-07-29 20:16:00+00:00,short,remainder,3.6426955986728133,runner_support
2026-08-03 19:47:00+00:00,2026-08-03 19:47:00+00:00,long,partial,-0.767254148599883,partial_tp
2026-08-03 19:47:00+00:00,2026-08-03 19:47:00+00:00,long,remainder,-0.3421155248589094,runner_resistance
