entry_time,exit_time,direction,leg,pnl,exit_hit
2025-12-14 10:17:00+00:00,2025-12-14 10:17:00+00:00,long,remainder,-5.819300732294575,runner_resistance
2025-12-14 10:19:00+00:00,2025-12-14 10:19:00+00:00,long,remainder,-5.804877088451436,runner_resistance
2025-12-14 10:21:00+00:00,2025-12-14 10:21:00+00:00,long,remainder,-5.812067974198294,runner_resistance
2025-12-14 10:23:00+00:00,2025-12-14 10:23:00+00:00,long,remainder,-5.797662257376215,runner_resistance
2025-12-14 21:26:00+00:00,2025-12-14 21:30:00+00:00,long,full,-4.788978624488731,init_sl
2025-12-15 12:55:00+00:00,2025-12-15 12:55:00+00:00,long,remainder,-1.9397252295890113,ema21_close
2025-12-20 09:25:00+00:00,2025-12-20 09:25:00+00:00,long,full,-0.09155424105965926,init_sl
2025-12-20 09:27:00+00:00,2025-12-20 09:27:00+00:00,long,full,-0.0915533419318999,init_sl
2025-12-20 09:29:00+00:00,2025-12-20 09:29:00+00:00,long,full,-0.11295722167714617,init_sl
2025-12-20 09:35:00+00:00,2025-12-20 09:35:00+00:00,long,full,-0.11295585300002964,init_sl
2025-12-20 09:40:00+00:00,2025-12-20 09:40:00+00:00,long,full,-0.11295448433949673,init_sl
2025-12-20 09:42:00+00:00,2025-12-20 09:42:00+00:00,long,full,-0.0915491148925427,init_sl
2025-12-20 15:23:00+00:00,2025-12-20 15:23:00+00:00,long,full,2.541867649939549,init_sl
2025-12-20 15:25:00+00:00,2025-12-20 15:25:00+00:00,long,full,2.5639825756992596,init_sl
2025-12-20 16:55:00+00:00,2025-12-20 16:55:00+00:00,long,full,2.4361228091217666,init_sl
2025-12-20 17:01:00+00:00,2025-12-20 17:01:00+00:00,long,full,2.4581919128008876,init_sl
2025-12-20 17:04:00+00:00,2025-12-20 17:04:00+00:00,long,full,2.4588396120589384,init_sl
2025-12-20 17:06:00+00:00,2025-12-20 17:06:00+00:00,long,full,2.459487481976703,init_sl
2025-12-20 17:10:00+00:00,2025-12-20 17:10:00+00:00,long,full,2.460135522599148,init_sl
2025-12-20 17:12:00+00:00,2025-12-20 17:12:00+00:00,long,full,2.460783733971253,init_sl
2025-12-20 17:14:00+00:00,2025-12-20 17:14:00+00:00,long,full,2.461432116138005,init_sl
2025-12-20 17:16:00+00:00,2025-12-20 17:16:00+00:00,long,full,2.462080669144409,init_sl
2025-12-20 17:18:00+00:00,2025-12-20 17:18:00+00:00,long,full,2.4627293930354774,init_sl
2025-12-20 17:20:00+00:00,2025-12-20 17:20:00+00:00,long,full,2.4633782878562362,init_sl
2025-12-20 17:22:00+00:00,2025-12-20 17:22:00+00:00,long,full,2.464027353651724,init_sl
2025-12-20 17:24:00+00:00,2025-12-20 17:24:00+00:00,long,full,2.464676590466989,init_sl
2025-12-20 17:26:00+00:00,2025-12-20 17:26:00+00:00,long,full,2.4653259983470925,init_sl
